===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-12-08 20:06:28
count workspace : c:\GameServers\gmod_dev_job\garrysmod\addons\ccr_lib
total files : 345
total code lines : 20624
total comment lines : 558
total blank lines : 4488

.history\lua\ccr\elements\_defaults_20191103165638.lua, code is 5, comment is 1, blank is 2.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\.history\lua\skills\sv_db_20191130135744.lua, code is 25, comment is 0, blank is 7.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\.history\lua\skills\sv_db_20191130135756.lua, code is 25, comment is 0, blank is 7.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\.history\lua\skills\sv_db_20191130135807.lua, code is 24, comment is 0, blank is 7.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\.history\lua\skills\sv_db_20191130135812.lua, code is 24, comment is 0, blank is 7.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\.history\lua\skills\sv_db_20191130135824.lua, code is 23, comment is 1, blank is 7.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\.history\lua\skills\sv_db_20191130135839.lua, code is 24, comment is 0, blank is 7.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\.history\lua\skills\sv_db_20191130143415.lua, code is 25, comment is 0, blank is 7.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\.history\lua\skills\sv_db_20191130143424.lua, code is 25, comment is 0, blank is 7.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\.history\lua\skills\sv_db_20191130143425.lua, code is 25, comment is 0, blank is 7.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\.history\lua\skills\sv_db_20191130143433.lua, code is 25, comment is 0, blank is 7.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\.history\lua\skills\sv_db_20191130143434.lua, code is 25, comment is 0, blank is 7.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\.history\lua\skills\sv_player_20191130142416.lua, code is 0, comment is 0, blank is 0.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\.history\lua\skills\sv_player_20191130143344.lua, code is 13, comment is 0, blank is 4.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\.history\lua\skills\sv_player_20191130143534.lua, code is 13, comment is 0, blank is 4.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\autorun\skills.lua, code is 54, comment is 0, blank is 13.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\cl_interface.lua, code is 10, comment is 0, blank is 3.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\classes\playerskills\sh.lua, code is 51, comment is 2, blank is 17.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\classes\playerskills\sv.lua, code is 8, comment is 0, blank is 4.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\classes\skill\sh.lua, code is 27, comment is 5, blank is 9.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\classes\tree\sh.lua, code is 47, comment is 3, blank is 16.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\db\get.lua, code is 27, comment is 0, blank is 4.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\db\init.lua, code is 23, comment is 0, blank is 3.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\db\points.lua, code is 16, comment is 0, blank is 3.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\db\skills.lua, code is 14, comment is 1, blank is 3.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\not_my_code\mysqlite.lua, code is 295, comment is 4, blank is 84.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\sh_configuration.lua, code is 34, comment is 15, blank is 10.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\sh_init.lua, code is 41, comment is 3, blank is 14.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\sh_player.lua, code is 5, comment is 0, blank is 2.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\skills\nigger_hunter.lua, code is 11, comment is 7, blank is 1.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\skills\nigger_killer.lua, code is 15, comment is 0, blank is 2.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\skills\random_skill.lua, code is 10, comment is 7, blank is 1.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\sv_db.lua, code is 27, comment is 0, blank is 7.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\sv_player.lua, code is 14, comment is 0, blank is 4.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\vgui\frame.lua, code is 32, comment is 0, blank is 9.
c:\GameServers\gmod_dev_job\garrysmod\addons\perilous_skills\lua\skills\vgui\tree.lua, code is 72, comment is 3, blank is 20.
lua\autorun\ccr.lua, code is 48, comment is 0, blank is 11.
lua\ccr\cl_panelfuncs.lua, code is 18, comment is 1, blank is 5.
lua\ccr\cl_test.lua, code is 9, comment is 0, blank is 2.
lua\ccr\cl_themes.lua, code is 22, comment is 0, blank is 8.
lua\ccr\classes\theme\sh.lua, code is 21, comment is 0, blank is 9.
lua\ccr\elements\_defaults.lua, code is 6, comment is 1, blank is 2.
lua\ccr\elements\button.lua, code is 88, comment is 0, blank is 26.
lua\ccr\elements\circle_avatar.lua, code is 41, comment is 2, blank is 15.
lua\ccr\elements\frame.lua, code is 52, comment is 11, blank is 12.
lua\ccr\elements\image_label.lua, code is 56, comment is 1, blank is 13.
lua\ccr\elements\numslider.lua, code is 101, comment is 1, blank is 27.
lua\ccr\elements\scrollpanel.lua, code is 13, comment is 2, blank is 5.
lua\ccr\elements\sidenav.lua, code is 19, comment is 0, blank is 10.
lua\ccr\elements\textentry.lua, code is 58, comment is 0, blank is 16.
lua\ccr\sh_classmerges.lua, code is 22, comment is 1, blank is 6.
lua\ccr\sh_init.lua, code is 31, comment is 4, blank is 6.
lua\ccr\themes\dark.lua, code is 20, comment is 1, blank is 3.
lua\ccr\tools\_BSHADOWS.lua, code is 110, comment is 0, blank is 14.
lua\ccr\tools\_PROMISES.lua, code is 311, comment is 2, blank is 24.
lua\ccr\tools\accessor_funcs.lua, code is 61, comment is 9, blank is 7.
lua\ccr\tools\anim.lua, code is 44, comment is 13, blank is 5.
lua\ccr\tools\cache.lua, code is 39, comment is 0, blank is 8.
lua\ccr\tools\class_funcs_merge.lua, code is 49, comment is 0, blank is 13.
lua\ccr\tools\color.lua, code is 87, comment is 8, blank is 15.
lua\ccr\tools\draw.lua, code is 126, comment is 2, blank is 24.
lua\ccr\tools\hook.lua, code is 36, comment is 1, blank is 14.
lua\ccr\tools\misc.lua, code is 18, comment is 0, blank is 2.
lua\ccr\tools\sh_playerfuncs.lua, code is 23, comment is 1, blank is 8.
lua\ccr\tools\text.lua, code is 32, comment is 0, blank is 7.
lua\ccr\tools\vgui.lua, code is 22, comment is 1, blank is 8.
materials\ccr_lib\close_x.png, it is a binary file.
===============================================================================
